,Name,Name_4FGL,CLASS1,RAdeg,DEdeg,EF30-100,e_EF30-100,z_1FLE
25,1FLE J0339-0133,4FGL J0339.5-0146 ,fsrq,54.765633,-1.558812,1.39039e-11,4.60174e-12,0.85
26,1FLE J0349-2045,4FGL J0349.8-2103 ,fsrq,57.391232,-20.758389,7.18849e-12,2.37916e-12,2.944
27,1FLE J0403-3554,4FGL J0403.9-3605 ,fsrq,60.784561,-35.908665,4.07988e-11,9.04626e-12,1.417
28,1FLE J0424-0042,4FGL J0423.3-0120 ,fsrq,66.07991,-0.710336,7.63768e-12,2.52783e-12,0.916
29,1FLE J0443-0024,4FGL J0442.6-0017 ,fsrq,70.977242,-0.404252,7.63478e-12,2.52686e-12,0.844
30,1FLE J0448-4535,4FGL J0455.7-4617 ,fsrq,72.19001,-45.594223,1.45837e-11,4.82673e-12,0.858
31,1FLE J0456-2322,4FGL J0457.0-2324 ,fsrq,74.24736,-23.367357,3.03123e-11,9.14139e-12,1.003
32,1FLE J0500-0209,4FGL J0501.2-0158 ,fsrq,75.233856,-2.162031,1.00725e-11,3.33367e-12,2.291
33,1FLE J0506+0528,4FGL J0509.4+0542 ,bll,76.739433,5.474629,1.69199e-11,5.59993e-12,0.0
34,1FLE J0531+0707,4FGL J0532.6+0732 ,fsrq,82.765579,7.122114,7.96495e-12,2.63614e-12,1.254
35,1FLE J0538-4438,4FGL J0538.8-4405 ,bll,84.526855,-44.637165,3.2725e-11,9.86902e-12,0.892
36,1FLE J0649+4529,4FGL J0654.4+4514 ,fsrq,102.36554,45.497055,1.28094e-11,4.23948e-12,0.933
37,1FLE J0721+7121,4FGL J0721.9+7120 ,bll,110.442207,71.35022,4.61017e-11,1.02221e-11,0.127
38,1FLE J0729-1230,4FGL J0730.3-1141 ,fsrq,112.408875,-12.504711,2.28843e-11,6.90132e-12,1.589
39,1FLE J0738+0133,4FGL J0739.2+0137 ,fsrq,114.542725,1.559293,1.58868e-11,5.25801e-12,0.18941
40,1FLE J0805-0743,4FGL J0808.2-0751 ,fsrq,121.393646,-7.723617,1.25168e-11,4.14265e-12,1.837
41,1FLE J0818+4202,4FGL J0818.2+4222 ,bll,124.669212,42.040665,1.44755e-11,4.79093e-12,0.53
42,1FLE J0823-2228,4FGL J0825.9-2230 ,bll,125.890945,-22.47579,1.30738e-11,4.32701e-12,0.911
