,Name,RAdeg,DEdeg,GLON,GLAT,ePos,Signi,EF30-100,e_EF30-100,EF100-300,e_EF100-300,F30-100,e_F30-100,F100-300,e_F100-300,Class1,z,Assoc1,Assoc3FGL,AssocCOMP
15,1FLE J1625-2510,246.375061,-25.173147,352.320007,16.557447,0.245768,12.229,3.83772e-11,1.15736e-11,0.0,0.0,4.60638e-07,1.38917e-07,1.46056e-07,0.0,fsrq ,0.786,3FGL J1625.7-2527 ,3FGL J1625.7-2527 ,                       
16,1FLE J2329-4929,352.365875,-49.489975,332.601715,-62.649414,0.244949,18.555,3.74749e-11,1.13015e-11,3.81757e-11,1.08378e-11,4.49808e-07,1.3565e-07,1.42622e-07,4.12463e-08,fsrq ,0.518,3FGL J2329.3-4955 ,3FGL J2329.3-4955 ,                       
17,1FLE J0105+6233,16.489763,62.555679,124.604202,-0.268912,0.24585,9.999,3.54913e-11,1.07032e-11,1.43264e-11,4.06714e-12,4.25998e-07,1.2847e-07,1.35073e-07,1.54787e-08,fsrq ,0.783,3FGL J0109.8+6132 ,3FGL J0109.8+6132 ,                       
18,1FLE J0109+0136,17.337948,1.601034,132.181717,-60.948586,0.244054,19.853,3.38575e-11,1.02105e-11,2.73407e-11,7.7618e-12,4.06389e-07,1.22556e-07,1.28855e-07,2.95398e-08,fsrq ,2.099,3FGL J0108.7+0134 ,3FGL J0108.7+0134 ,                       
19,1FLE J0538-4438,84.526855,-44.637165,250.696243,-31.303501,0.245031,14.323,3.2725e-11,9.86902e-12,2.45895e-11,6.98076e-12,3.92796e-07,1.18457e-07,1.24545e-07,2.65674e-08,bll  ,0.892,3FGL J0538.8-4405 ,3FGL J0538.8-4405 ,                       
20,1FLE J1503+1033,225.863922,10.564854,11.264149,54.817478,0.245112,15.778,3.16847e-11,9.55528e-12,3.59553e-11,1.02074e-11,3.80308e-07,1.14691e-07,1.20586e-07,3.88473e-08,fsrq ,1.839,3FGL J1504.4+1029 ,3FGL J1504.4+1029 ,                       
21,1FLE J2056-4724,314.178589,-47.405056,352.378632,-40.449799,0.245276,13.681,3.12991e-11,9.43899e-12,2.21192e-11,6.27946e-12,3.7568e-07,1.13295e-07,1.19118e-07,2.38984e-08,fsrq ,1.491,3FGL J2056.2-4714 ,3FGL J2056.2-4714 ,                       
22,1FLE J0456-2322,74.24736,-23.367357,223.650345,-34.896355,0.24446,12.611,3.03123e-11,9.14139e-12,3.47772e-11,9.87295e-12,3.63835e-07,1.09723e-07,1.15362e-07,3.75745e-08,fsrq ,1.003,3FGL J0457.0-2324 ,3FGL J0457.0-2324 ,                       
23,1FLE J0238+2900,39.618816,29.01075,149.491638,-28.282955,0.244949,13.696,2.94371e-11,8.87746e-12,2.30665e-11,6.54839e-12,3.53331e-07,1.06555e-07,1.12032e-07,2.49218e-08,fsrq ,1.213,3FGL J0237.9+2848 ,3FGL J0237.9+2848 ,                       
24,1FLE J0219+4256,34.809181,42.940071,139.566299,-17.077888,0.245358,11.497,2.82405e-11,8.5166e-12,2.99411e-11,8.50003e-12,3.38968e-07,1.02224e-07,1.07478e-07,3.23494e-08,bll  ,0.444,3FGL J0222.6+4301 ,3FGL J0222.6+4301 ,                       
25,1FLE J2156+5102,329.154785,51.046795,97.151299,-2.859358,0.24585,8.222,2.75096e-11,8.29618e-12,5.65567e-12,2.26227e-12,3.30195e-07,9.95783e-08,1.04696e-07,8.60973e-09,fsrq ,1.899,3FGL J2201.7+5047 ,3FGL J2201.7+5047 ,                       
26,1FLE J1344+4456,206.207001,44.935921,95.477417,69.239487,0.244867,12.771,2.73121e-11,8.23661e-12,2.55781e-11,7.26141e-12,3.27824e-07,9.88632e-08,1.03944e-07,2.76355e-08,fsrq ,2.534,3FGL J1345.6+4453 ,3FGL J1345.6+4453 ,                       
27,1FLE J0221+3604,35.355751,36.071209,142.615494,-23.337433,0.244949,11.628,2.63062e-11,7.93327e-12,2.37045e-11,6.72951e-12,3.15751e-07,9.52223e-08,1.00116e-07,2.56112e-08,fsrq ,0.944,3FGL J0221.1+3556 ,3FGL J0221.1+3556 ,                       
28,1FLE J1105+3807,166.270737,38.118946,179.941727,65.176933,0.245276,12.034,2.44083e-11,7.36092e-12,2.82202e-11,8.01147e-12,2.92971e-07,8.83524e-08,9.28932e-08,3.049e-08,bll  ,0.031,3FGL J1104.4+3812 ,3FGL J1104.4+3812 ,                       
29,1FLE J1834-2116,278.568939,-21.281813,12.032537,-5.938382,0.245604,4.83,2.33722e-11,7.04843e-12,1.90468e-11,5.40721e-12,2.80534e-07,8.46017e-08,8.89497e-08,2.05788e-08,fsrq ,2.507,3FGL J1833.6-2103 ,3FGL J1833.6-2103 ,                       
30,1FLE J1827+6859,276.920471,68.987328,99.268623,27.302057,0.245768,5.149,2.33278e-11,7.03504e-12,0.0,0.0,2.80001e-07,8.44409e-08,8.87807e-08,0.0,bll  ,0.0,3FGL J1823.4+6857 ,3FGL J1823.4+6857 ,                       
31,1FLE J0729-1230,112.408875,-12.504711,228.407501,2.602984,0.24585,10.036,2.28843e-11,6.90132e-12,2.11874e-11,6.01493e-12,2.74678e-07,8.28358e-08,8.70932e-08,2.28916e-08,fsrq ,1.589,3FGL J0730.2-1141 ,3FGL J0730.2-1141 ,                       
32,1FLE J2144+1751,326.164001,17.852749,72.409004,-26.182785,0.245358,10.944,2.21046e-11,6.66617e-12,1.69957e-11,4.82494e-12,2.65319e-07,8.00134e-08,8.41256e-08,1.83628e-08,fsrq ,0.213,3FGL J2143.5+1744 ,3FGL J2143.5+1744 ,                       
33,1FLE J1145+4001,176.474304,40.022873,165.239914,71.280785,0.245686,6.156,2.15569e-11,6.50099e-12,1.10545e-11,3.13828e-12,2.58745e-07,7.80307e-08,8.20411e-08,1.19436e-08,fsrq ,1.089,3FGL J1146.8+3958 ,3FGL J1146.8+3958 ,                       
34,1FLE J2039+5042,309.908203,50.700989,88.408966,5.539215,0.246015,3.921,2.14528e-11,6.4696e-12,1.09365e-11,3.10478e-12,2.57496e-07,7.7654e-08,8.1645e-08,1.18162e-08,fsrq ,1.686,3FGL J2038.8+5113 ,3FGL J2038.8+5113 ,                       
35,1FLE J1831-5805,277.907623,-58.086189,337.087372,-20.270178,0.245686,7.716,2.12005e-11,6.39353e-12,1.82583e-11,5.18338e-12,2.54468e-07,7.67409e-08,8.0685e-08,1.97269e-08,bll  ,0.0,3FGL J1832.4-5659 ,3FGL J1832.4-5659 ,                       
36,1FLE J2027-0805,306.846924,-8.097399,36.611248,-24.988312,0.244949,9.866,2.1054e-11,6.34934e-12,1.77025e-11,5.0256e-12,2.52709e-07,7.62105e-08,8.01273e-08,1.91264e-08,fsrq ,1.388,3FGL J2025.6-0736 ,3FGL J2025.6-0736 ,                       
37,1FLE J1838+6812,279.649109,68.216431,98.535995,26.2264,0.246097,8.056,2.08042e-11,6.27402e-12,1.44796e-11,4.11063e-12,2.49711e-07,7.53064e-08,7.91768e-08,1.56442e-08,fsrq ,0.472,3FGL J1842.8+6810 ,3FGL J1842.8+6810 ,                       
